Contribution_ID,Paper_ID,Paper_Title,Predicate_ID,Predicate_Label,Object_ID,Property_Type,Value,Availability%,Avail_Reason,Accessibility%,Access_Reason,Linkability%,Link_Reason,License%,Lic_Reason,Repo_Type,Ontology_Source,License_Name
R282454,R1000,,P9041,Methods,L620185,literal,Direct Comparison to a Reference Period: Meteorology discussed  not quantified,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282455,R1000,,P9041,Methods,L620196,literal,Direct Comparison to a Reference Period: Meteorology discussed  not quantified,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282456,R1000,,P9041,Methods,L620207,literal,Direct Comparison to a Reference Period: Meteorology discussed  not quantified,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282457,R1000,,P9041,Methods,L620218,literal,Direct Comparison to a Reference Period: Meteorology discussed  not quantified,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282458,R1000,,P9041,Methods,L620229,literal,Direct Comparison to a Reference Period: Meteorology discussed  not quantified,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282459,R1000,,P9041,Methods,L620240,literal,Direct Comparison to a Reference Period: Meteorology discussed  not quantified,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282460,R1000,,P9041,Methods,L620251,literal,Direct Comparison to a Reference Period: Meteorology discussed  not quantified,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282461,R1000,,P9041,Methods,L620262,literal,Direct Comparison to a Reference Period: Meteorology discussed  not quantified,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282462,R1000,,P9041,Methods,L620273,literal,Direct Comparison to a Reference Period: Meteorology discussed  not quantified,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282463,R1000,,P9041,Methods,L620284,literal,Direct Comparison to a Reference Period: Meteorology discussed  not quantified,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282464,R1000,,P9041,Methods,L620295,literal,Direct Comparison to a Reference Period: Meteorology discussed  not quantified,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282465,R1000,,P9041,Methods,L620327,literal,Accounting for Effects of Meteorology  Atmospheric Chemistry  and Long-term Tren,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282467,R1000,,P9041,Methods,L620343,literal,Direct Comparison to a Reference Period,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282468,R1000,,P9041,Methods,L620363,literal,Direct Comparison to a Reference Period,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R286147,R1000,,P9041,Methods,L633782,literal,Direct Comparison to a Reference Period,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R286148,R1000,,P9041,Methods,L633796,literal,Direct Comparison to a Reference Period,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R1031,R1020,Open Research Knowledge Graph: Towards Machine Act,P14,description,R137033,resource,Programming language,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R137033,100,Inapplicable (not repo URL),,,
R1031,R1020,Open Research Knowledge Graph: Towards Machine Act,P15,implementation,R1035,resource,Backend,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R1035,100,Inapplicable (not repo URL),,,
R1031,R1020,Open Research Knowledge Graph: Towards Machine Act,P15,implementation,R1034,resource,Frontend,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R1034,100,Inapplicable (not repo URL),,,
R1031,R1020,Open Research Knowledge Graph: Towards Machine Act,P1005,method,L5,literal,User Evaluation,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R1031,R1020,Open Research Knowledge Graph: Towards Machine Act,P1002,uses framework,R1043,resource,Spring boost,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R1043,100,Inapplicable (not repo URL),,,
R1031,R1020,Open Research Knowledge Graph: Towards Machine Act,P1000,uses library,R1039,resource,ReactJs,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R1039,100,Inapplicable (not repo URL),,,
R1031,R1020,Open Research Knowledge Graph: Towards Machine Act,P1004,model,R1047,resource,Linked Property Graph,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R1047,100,Inapplicable (not repo URL),,,
R1031,R1020,Open Research Knowledge Graph: Towards Machine Act,P1003,url,L4,url,https://neo4j.com,100,Valid: has value,100,Valid: HTTP 200,100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R2038,R2022,Why Reinvent the Wheel,P15,implementation,R2040,resource,Baseline implementation,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R2040,100,Inapplicable (not repo URL),,,
R2038,R2022,Why Reinvent the Wheel,P33,approach,L1007,literal,Generate optimal QA pipelines,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R2038,R2022,Why Reinvent the Wheel,P2005,dataset,R2044,resource,LC-Quad,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R2044,100,Inapplicable (not repo URL),,,
R2038,R2022,Why Reinvent the Wheel,P2005,dataset,R2043,resource,QALD,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R2043,100,Inapplicable (not repo URL),,,
R2012,R2008,Algorithm and Hardware for a Merge Sort Using Mult,P2001,Algorithm,R2014,resource,Merge sort,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R2014,100,Inapplicable (not repo URL),,,
R189397,R2047,Capturing Knowledge in Semantically-typed Relation,P1005,method,L487822,literal,Bipartite graph matching,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R189397,R2047,Capturing Knowledge in Semantically-typed Relation,P15,implementation,R2063,resource,SIBKB,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R2063,100,Inapplicable (not repo URL),,,
R189397,R2047,Capturing Knowledge in Semantically-typed Relation,P14,description,L378348,literal,Only english arcticles,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R2058,R2047,Capturing Knowledge in Semantically-typed Relation,P15,implementation,R2062,resource,Github implementation,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R2062,100,Inapplicable (not repo URL),,,
R2058,R2047,Capturing Knowledge in Semantically-typed Relation,P1003,url,L1009,url,https://github.com/YaserJaradeh/ReMatch,100,Valid: has value,100,Valid: HTTP 200,100,Inapplicable (not resource),0,Not Valid: No license found,github,,
R569128,R2047,Capturing Knowledge in Semantically-typed Relation,description,description,L3040677,url,https://www.wikidata.org/wiki/Q123578571,100,Valid: has value,100,Valid: HTTP 200,100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R569128,R2047,Capturing Knowledge in Semantically-typed Relation,P4059,Has url,empty,resource,Value not reported in paper,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource empty,100,Inapplicable (not repo URL),,,
R569128,R2047,Capturing Knowledge in Semantically-typed Relation,P45156,used datasets,R224187,resource,NAGA,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R224187,100,Inapplicable (not repo URL),,,
R569128,R2047,Capturing Knowledge in Semantically-typed Relation,P45156,used datasets,R224179,resource,QALD-1,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R224179,100,Inapplicable (not repo URL),,,
R569128,R2047,Capturing Knowledge in Semantically-typed Relation,HAS_METHOD,method,R224168,resource,Natural Language Processing,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R224168,100,Inapplicable (not repo URL),,,
R569128,R2047,Capturing Knowledge in Semantically-typed Relation,HAS_METHOD,method,R224162,resource,SPARQL  triple pattern,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R224162,100,Inapplicable (not repo URL),,,
R569128,R2047,Capturing Knowledge in Semantically-typed Relation,HAS_IMPLEMENTATION,implementation,R224135,resource,translate natural language question into a formal query ,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R224135,100,Inapplicable (not repo URL),,,
R569128,R2047,Capturing Knowledge in Semantically-typed Relation,P14,description,L544708,literal,Proposed a  3  phase  frame-work  in  order to tackle the disambiguity during se,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R569128,R2047,Capturing Knowledge in Semantically-typed Relation,description,description,L5550,literal,A comparison of question answering systems and the tasks that these systems have,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R569128,R2047,Capturing Knowledge in Semantically-typed Relation,P15,implementation,R6400,resource,SemGraphQA,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R6400,100,Inapplicable (not repo URL),,,
R569128,R2047,Capturing Knowledge in Semantically-typed Relation,P15,implementation,R6397,resource,CASIA,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R6397,100,Inapplicable (not repo URL),,,
R569128,R2047,Capturing Knowledge in Semantically-typed Relation,P15,implementation,R6385,resource,Xser,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R6385,100,Inapplicable (not repo URL),,,
R569128,R2047,Capturing Knowledge in Semantically-typed Relation,P15,implementation,R6382,resource,UTQA,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R6382,100,Inapplicable (not repo URL),,,
R569128,R2047,Capturing Knowledge in Semantically-typed Relation,P15,implementation,R6366,resource,SWIP,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R6366,100,Inapplicable (not repo URL),,,
R569128,R2047,Capturing Knowledge in Semantically-typed Relation,P15,implementation,R6355,resource,PowerAqua,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R6355,100,Inapplicable (not repo URL),,,
R569128,R2047,Capturing Knowledge in Semantically-typed Relation,P15,implementation,R6352,resource,POMELO,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R6352,100,Inapplicable (not repo URL),,,
R569128,R2047,Capturing Knowledge in Semantically-typed Relation,P15,implementation,R6324,resource,ISOFT,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R6324,100,Inapplicable (not repo URL),,,
R569128,R2047,Capturing Knowledge in Semantically-typed Relation,P15,implementation,R6321,resource,QAnswer,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R6321,100,Inapplicable (not repo URL),,,
R569128,R2047,Capturing Knowledge in Semantically-typed Relation,P15,implementation,R6318,resource,RTV,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R6318,100,Inapplicable (not repo URL),,,
R569128,R2047,Capturing Knowledge in Semantically-typed Relation,P15,implementation,R6315,resource,Treo,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R6315,100,Inapplicable (not repo URL),,,
R569128,R2047,Capturing Knowledge in Semantically-typed Relation,P15,implementation,R6305,resource,QAKiS,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R6305,100,Inapplicable (not repo URL),,,
R569128,R2047,Capturing Knowledge in Semantically-typed Relation,P15,implementation,R6302,resource,Implementation,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R6302,100,Inapplicable (not repo URL),,,
R569128,R2047,Capturing Knowledge in Semantically-typed Relation,P15,implementation,R6276,resource,FREyA,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R6276,100,Inapplicable (not repo URL),,,
R569128,R2047,Capturing Knowledge in Semantically-typed Relation,P15,implementation,R6273,resource,Intui3,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R6273,100,Inapplicable (not repo URL),,,
R569128,R2047,Capturing Knowledge in Semantically-typed Relation,P15,implementation,R6270,resource,Intui2,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R6270,100,Inapplicable (not repo URL),,,
R569128,R2047,Capturing Knowledge in Semantically-typed Relation,P2005,dataset,R6233,resource,MusicBrainz,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R6233,100,Inapplicable (not repo URL),,,
R569128,R2047,Capturing Knowledge in Semantically-typed Relation,P2005,dataset,R6232,resource,DBpedia 3.6,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R6232,100,Inapplicable (not repo URL),,,
R166218,R2069,Decentralized Collaborative Knowledge Management U,HAS_IMPLEMENTATION,implementation,L447893,literal,extract information from git,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R166218,R2069,Decentralized Collaborative Knowledge Management U,HAS_IMPLEMENTATION,implementation,R166219,resource,Quit Blame,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R166219,100,Inapplicable (not repo URL),,,
R166218,R2069,Decentralized Collaborative Knowledge Management U,HAS_APPROACH,approach,L447892,url,https://www.w3.org/TR/prov-aq/,100,Valid: has value,100,Valid: HTTP 200,100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R4843,R4838,Visual Summarization of Scholarly Videos Using Wor,url,url,L407346,url,https://scikit-learn.org/stable/,100,Valid: has value,100,Valid: HTTP 200,100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R4843,R4838,Visual Summarization of Scholarly Videos Using Wor,P14,description,R137033,resource,Programming language,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R137033,100,Inapplicable (not repo URL),,,
R4843,R4838,Visual Summarization of Scholarly Videos Using Wor,P2005,dataset,R4855,resource,TIB AV Portal Data,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R4855,100,Inapplicable (not repo URL),,,
R4843,R4838,Visual Summarization of Scholarly Videos Using Wor,HAS_METHOD,method,R4854,resource,Keyphrase Extraction,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R4854,100,Inapplicable (not repo URL),,,
R4843,R4838,Visual Summarization of Scholarly Videos Using Wor,HAS_METHOD,method,R4853,resource,semantic word embedding,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R4853,100,Inapplicable (not repo URL),,,
R4843,R4838,Visual Summarization of Scholarly Videos Using Wor,P1000,uses library,R4852,resource,GreaseMonkey,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R4852,100,Inapplicable (not repo URL),,,
R4843,R4838,Visual Summarization of Scholarly Videos Using Wor,P1000,uses library,R4851,resource,NLTK,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R4851,100,Inapplicable (not repo URL),,,
R4843,R4838,Visual Summarization of Scholarly Videos Using Wor,P1000,uses library,R4850,resource,pke,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R4850,100,Inapplicable (not repo URL),,,
R4843,R4838,Visual Summarization of Scholarly Videos Using Wor,P1000,uses library,R4849,resource,scikit-learn,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R4849,100,Inapplicable (not repo URL),,,
R4843,R4838,Visual Summarization of Scholarly Videos Using Wor,P1000,uses library,R4848,resource,BeautifulSoup,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R4848,100,Inapplicable (not repo URL),,,
R4843,R4838,Visual Summarization of Scholarly Videos Using Wor,P1000,uses library,R4847,resource,rdflib,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R4847,100,Inapplicable (not repo URL),,,
R4575,R4568,Relationale Prozessmodellierung in kooperativer Ge,P4059,Has url,R4580,url,http://github.com/...,100,Valid: has value,0,Not Valid: HTTP 404,100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R4947,R4938,Interest-Based RDF Update Propagation,HAS_IMPLEMENTATION,implementation,R4951,resource,iRap -- interest-based RDF update propagation framework,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R4951,100,Inapplicable (not repo URL),,,
R4947,R4938,Interest-Based RDF Update Propagation,P1003,url,L3431,url,https://github.com/EIS-Bonn/iRap,100,Valid: has value,100,Valid: HTTP 200,100,Inapplicable (not resource),0,Not Valid: No license found,github,,
R4960,R4952,MULDER: Querying the Linked Data Web by Bridging R,P1005,method,R4965,resource,RDF molecule templates,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R4965,100,Inapplicable (not repo URL),,,
R4960,R4952,MULDER: Querying the Linked Data Web by Bridging R,P4059,Has url,L3433,url,https://github.com/SDM-TIB/MULDER,100,Valid: has value,100,Valid: HTTP 200,100,Inapplicable (not resource),0,Not Valid: No license found,github,,
R4962,R4952,MULDER: Querying the Linked Data Web by Bridging R,HAS_IMPLEMENTATION,implementation,R4966,resource,MULDER,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R4966,100,Inapplicable (not repo URL),,,
R4962,R4952,MULDER: Querying the Linked Data Web by Bridging R,P4059,Has url,L3433,url,https://github.com/SDM-TIB/MULDER,100,Valid: has value,100,Valid: HTTP 200,100,Inapplicable (not resource),0,Not Valid: No license found,github,,
R4986,R4978,BOUNCER: Privacy-Aware Query Processing over Feder,HAS_IMPLEMENTATION,implementation,R4989,resource,BOUNCER,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R4989,100,Inapplicable (not repo URL),,,
