Contribution_ID,Paper_ID,Paper_Title,Num_Props,Availability%,Accessibility%,Linkability%,License%,Overall%,Tier
R6151,R6150,Author name disambiguation using a graph model with node splitting and,8,100.0,100.0,66.7,100.0,91.7,Excellent
R6162,R6161,Evaluating the Use of Social Networks in Author Name Disambiguation in,9,100.0,100.0,57.1,100.0,89.3,Excellent
R6186,R6185,On the combination of domain-specific heuristics for author name disam,8,100.0,100.0,50.0,100.0,87.5,Excellent
R6287,R6286,Template-based question answering over RDF data,7,100.0,100.0,20.0,100.0,80.0,Excellent
R6291,R6290,Evaluation of a Layered Approach to Question Answering over Linked Dat,40,100.0,100.0,81.6,100.0,95.4,Excellent
R189082,R8186,Open Research Knowledge Graph: Next Generation Infrastructure for Sema,6,100.0,100.0,75.0,100.0,93.8,Excellent
R8194,R8186,Open Research Knowledge Graph: Next Generation Infrastructure for Sema,4,100.0,100.0,100.0,100.0,100.0,Excellent
R8199,R8186,Open Research Knowledge Graph: Next Generation Infrastructure for Sema,26,100.0,100.0,58.3,91.7,87.5,Excellent
R505901,R11010,Deeper Text Understanding for IR with Contextual Neural Language Model,4,100.0,100.0,0.0,100.0,75.0,Good
R505905,R11010,Deeper Text Understanding for IR with Contextual Neural Language Model,4,100.0,100.0,0.0,100.0,75.0,Good
R505909,R11010,Deeper Text Understanding for IR with Contextual Neural Language Model,4,100.0,100.0,0.0,100.0,75.0,Good
R525745,R11019,Identity Mappings in Deep Residual Networks,54,100.0,92.3,96.2,50.0,84.6,Excellent
R25707,R25706,Gephi: An Open Source Software for Exploring and Manipulating Networks,6,100.0,100.0,75.0,100.0,93.8,Excellent
R69283,R69282,SemEval 2017 Task 10: ScienceIE - Extracting Keyphrases and Relations ,69,100.0,100.0,79.1,95.5,93.7,Excellent
R69286,R69285,Domain-Independent Extraction of Scientific Concepts from Research Art,57,100.0,100.0,67.3,90.9,89.5,Excellent
R69289,R69288,"Multi-Task Identification of Entities, Relations, and Coreference for ",52,100.0,100.0,78.0,94.0,93.0,Excellent
R75321,R74026,Task 11 at SemEval-2021: NLPContributionGraph - Structuring Scholarly ,33,100.0,100.0,61.3,100.0,90.3,Excellent
